hotel_id,hotel_name,hotel_caption,image_uri
yad328995,ニューセントラルホテル,"JR神田駅から徒歩2分・東京駅から1駅の好立地
全室で有線・Wi-Fi インターネット接続無料
男女大浴場（ サウナ付）完備。コインランドリーあり

■■シングル(バスなし・トイレ付）9㎡　朝食無料■■
 
 シングル喫煙ルーム（素泊まりプラン）
 
 
 シングル禁煙ルーム(素泊まりプラン)
 ",https://cdn.jalan.jp/jalan/images/pictM/Y5/Y328995/Y328995056.jpg
yad336373,アパホテル＜神田駅前＞,"都内各所へアクセス便利なJR神田駅から徒歩3分♪東京駅まで1駅、秋葉原や日本橋三越までは徒歩圏内！周辺飲食店も多数！Wi-Fi・有線LAN接続無料！枕元には携帯の充電に便利な電源＆USBポート(2.0)搭載！
 
 【素泊まり】2018年2月新築OPEN！東京駅まで1駅・神田駅から徒歩3分！Wi-Fi接続無料！
 
 
 【VOD付】50インチ大型テレビで迫力の映画を楽しめる♪162タイトル以上の最旬作品が見放題！
 
 
 【じゃらん限定】【素泊まり】ポイント10％　賢くポイントを貯めたい方お勧め♪神田駅から徒歩3分！
 ",https://cdn.jalan.jp/jalan/images/pictM/Y3/Y336373/Y336373097.jpg
yad378188,ホテルリブマックス茅場町,"茅場町駅・八丁堀より徒歩2分★東京駅 舞浜へも便利！
高級ブランドシモンズベット使用ごゆっくりおくつろぎくださいませ
宿泊日当日にはお荷物のお預かりも承っております
 
 【茅場町駅より徒歩2分】７日前までのご予約でお得な早割プラン【全室シモンズベッド♪】
 
 
 【茅場町駅より徒歩2分】14日前までのご予約でお得な早割プラン【全室シモンズベッド♪】
 
 
 【茅場町駅より徒歩2分】【直前割】☆みたもの勝ち！！直前タイムセールプラン☆【全室シモンズベッド♪】
 ",https://cdn.jalan.jp/jalan/images/pictM/Y8/Y378188/Y378188112.jpg
yad343067,セントラルホテル,"東京駅から1駅。ＪＲ神田駅から徒歩１分【ビジネスの拠点】東京出張や観光に大変便利☆男女別大浴場完備♪☆★公式ＨＰでは会員様限定のお得なプランもご用意！！ 詳しくは公式ＨＰをご覧下さいませ☆★ 
 
 禁煙シングルルームご宿泊プラン【バス無し・トイレ無し】〜神田駅徒歩１分〜男女別大浴場完備♪
 
 
 喫煙シングルルームご宿泊プラン【バス無し・トイレ無し】〜神田駅徒歩１分〜男女別大浴場完備♪
 
 
 禁煙バス付シングルルームご宿泊プラン☆東京出張や観光に☆〜神田駅徒歩１分〜男女別大浴場完備♪
 ",https://cdn.jalan.jp/jalan/images/pictM/Y7/Y343067/Y343067203.jpg
yad354033,ファーストキャビン（ＦＩＲＳＴ　ＣＡＢＩＮ）秋葉原,"『コンパクト＆ラグジュアリー』をコンセプトに飛行機のファーストクラスをイメージしたコンパクトホテル※簡易宿所のため各キャビン（部屋）に鍵はかかりません◆宿泊当日朝からお荷物預かり可能です◆
 
 【男性専用】ベストレートプラン
 
 
 【女性専用】ベストレートプラン
 
 
 【女性専用】金・土２連泊☆アキバ前乗りプラン【2連泊】
 ",https://cdn.jalan.jp/jalan/images/pictM/Y3/Y354033/Y354033084.jpg
yad386716,パールホテル茅場町,"最寄駅の地下鉄東西線・日比谷線“茅場町駅”から４Ｂ出口を出て徒歩2分
半蔵門線“水天宮前駅”、ＪＲ京葉線“八丁堀駅”も徒歩10分圏内
仕事にも遊びにもアクティブに利用できます！全館WIFI利用可★
 
 【スタンダードプラン】素泊り
 
 
 【ビジネス出張応援プラン】素泊り
 
 
 スペシャルプライス★シングルプラン
 ",https://cdn.jalan.jp/jalan/images/pictM/Y6/Y386716/Y386716174.jpg
yad335944,京王プレッソイン日本橋茅場町(旧：京王プレッソイン茅場町),"地下鉄茅場町駅より徒歩1分。Ｔ−ＣＡＴまで徒歩１０分で成田＆羽田空港までも便利。舞浜まで２５分☆女性も安心＆満足♪東京都内アクセス抜群なのでビジネス＆観光拠点に！館内1階にコンビニあり。
 
 ＊QUOカード１０００円＊お小遣い付き！駅チカ・無料朝食【１名利用】
 
 
 ＊QUOカード１０００円＊お小遣い付き！駅チカ・無料朝食【１名利用】
 
 
 ＊QUOカード１０００円＊お小遣い付き！駅チカ・無料朝食【１名利用】
 ",https://cdn.jalan.jp/jalan/images/pictM/Y4/Y335944/Y335944385.jpg
yad313506,西鉄イン日本橋,"羽田空港から最寄人形町駅まで京急線直通40分！Ａ5出口を右に出て徒歩約4分
東京・九州のブッフェ大人気。味・種類・ボリュームに自信あり。WIFI完備。コンセント充実。
観光地へのアクセス抜群！
 
 【じゃらん限定】ポイント10％・日本橋に泊まる 人形町駅から4分の素泊まり
 
 
 2連泊以上　素泊まりプラン
 
 
 女性優先フロア　素泊まりプラン
 ",https://cdn.jalan.jp/jalan/images/pictM/Y6/Y313506/Y313506438.jpg
yad331507,ホテルインターゲート東京京橋,"このホテルだけの、ラウンジサービスが魅力！体に優しいスムージー（6：00〜7：00）やオリジナルカクテル（17：00〜19：00）。〆お夜食のお茶漬け（21：00〜23：00）多彩なメニューをご用意しております。
 
 ★じゃらん本誌掲載中★【開業記念プラン】2018年4月グランドオープン！今だけ室数限定＜素泊り＞
 
 
 【早割６０／素泊り】60日前迄の早期予約15％OFF！2018年4月OPEN 最高の朝をお届けする新コンセプトホテル
 
 
 ショートステイ19-10／素泊り　ラウンジサービス充実の新ブランドホテル
 ",https://cdn.jalan.jp/jalan/images/pictM/Y7/Y331507/Y331507103.jpg
yad328726,ユニゾイン神田駅西,"２０１４年より休業をいただいておりました""ホテルユニゾ神田""が、全館リニューアルを施し、ユニゾインとして２０１７年８月１５日オープン！JR神田駅西口より徒歩３分の好立地！ビジネス・観光に最適！！
 
 【NEW OPEN】2017年8月15日　【素泊まり】プラン
 
 
 【NEW OPEN】2017年8月15日　ビジネス応援パッケージA【素泊まり】 
 
 
 【NEW OPEN】2017年8月15日　ビジネス応援パッケージB【素泊まり】 
 ",https://cdn.jalan.jp/jalan/images/pictM/Y6/Y328726/Y328726273.jpg
yad339708,ベルケンホテル・神田,"東京神田にハイエンドバジェットホテルBelkenがオープン！
ビジネス、観光にも便利な地下鉄・淡路町駅から徒歩1分♪♪♪


 
 【2018年6月9日グランドオープン♪】早割１４日前プラン〜素泊まり〜
 
 
 【2018年6月9日グランドオープン♪】ベストプライス〜素泊まり〜
 
 
 【2018年6月9日グランドオープン♪】早割７日前プラン〜素泊まり〜
 ",https://cdn.jalan.jp/jalan/images/pictM/Y8/Y339708/Y339708034.jpg
yad377788,明神の湯　ドーミーインＰＲＥＭＩＵＭ神田,"最上階にサウナ付男女別超軟水大浴場
ご朝食は名物『蕎麦・天ぷら』のバイキング♪
湯上り処SOLA（ご宿泊者様は生ビール1杯無料）
全室禁煙！喫煙ブースフロア有
徒歩5分圏内で6駅8路線乗入れ可能
 
 【早割48】48日前早割プラン≪素泊り≫
 
 
 【素泊まり】癒しのシンプルステイプラン♪男女別超軟水大浴場完備
 
 
 【早割14】14日前早割プラン≪素泊り≫
 ",https://cdn.jalan.jp/jalan/images/pictM/Y8/Y377788/Y377788197.jpg
yad312600,亀島川温泉　新川の湯　ドーミーイン東京八丁堀,"全館、全室Wi-Fi接続無料♪東京駅、上野、秋葉原、銀座、築地、舞浜すべて乗り換えなしのアクセス抜群!！ディズニーＲ、ビックサイトへも便利♪大浴場：男女別天然温泉大浴場完備(2F) サウナ・外気湯付
 
 【早割48】早期予約★割引プラン♪≪素泊まり≫
 
 
 【素泊り】癒しのシンプルステイプラン♪天然温泉大浴場完備
 
 
 【早割7】早期予約★割引プラン♪《素泊り》
 ",https://cdn.jalan.jp/jalan/images/pictM/Y0/Y312600/Y312600408.jpg
yad319063,神田ステーションホテル,"ＪＲ山手線・中央線、地下鉄銀座線・半蔵門線など都心主要線の神田駅から徒歩５分圏内で、ビジネス・レジャーの拠点に最適な好立地ホテル。快適で機能的な施設と設備が整い、気軽に利用できる安心ホテル。
 
 数室限定ちょっとお得な禁煙シングルプラン
 
 
 数室限定ちょっとお得な喫煙シングルプラン
 
 
 禁煙シングルプラン
 ",https://cdn.jalan.jp/jalan/images/pictM/Y3/Y319063/Y319063001.jpg
yad385151,相鉄フレッサイン東京京橋,"JR東京駅八重洲口より徒歩8分。羽田空港から宝町駅まで直通！銀座や日本橋も徒歩圏内♪アクセス良好なホテルです！
いまならお得なクーポン配布中！ご予約は今すぐ！
 
 ☆連泊割☆2連泊からのハッピープライス♪＜素泊まり＞
 
 
 【出張の達人】嬉しい特典♪QUOカード2000円付プラン＜素泊まり＞
 
 
 ≪4連泊以上限定≫なが〜く泊まって☆もっとお得に☆ずっとHAPPY♪＜素泊まり＞
 ",https://cdn.jalan.jp/jalan/images/pictM/Y1/Y385151/Y385151138.jpg
